IP地址,隧道协议,已发送,已接收,丢包率,平均延迟(ms),RTT1(ms),RTT2(ms),RTT3(ms),RTT4(ms)
162.159.198.2:8095,MASQUE,4,4,0%,150,141,155,153,152
162.159.198.2:443,MASQUE,4,4,0%,152,151,149,153,153
162.159.198.2:4443,MASQUE,4,4,0%,152,150,150,151,157
162.159.197.2:1701,MASQUE,4,4,0%,152,153,151,153,152
[2606:4700:102::2]:1701,MASQUE,4,4,0%,152,152,152,153,152
162.159.199.2:500,MASQUE,4,4,0%,152,153,153,152,152
[2606:4700:102::2]:4443,MASQUE,4,4,0%,152,153,151,153,152
162.159.199.2:8095,MASQUE,4,4,0%,152,153,151,153,153
[2606:4700:102::2]:4500,MASQUE,4,4,0%,152,153,153,153,151
162.159.197.2:443,MASQUE,4,4,0%,153,153,153,152,152
162.159.199.2:443,MASQUE,4,4,0%,153,153,152,152,152
162.159.199.2:1701,MASQUE,4,4,0%,153,153,153,153,152
162.159.197.2:4443,MASQUE,4,4,0%,153,153,152,153,152
[2606:4700:102::2]:443,MASQUE,4,4,0%,153,153,152,153,152
162.159.197.2:8095,MASQUE,4,4,0%,153,153,152,153,153
162.159.199.2:8443,MASQUE,4,4,0%,153,153,153,153,152
162.159.197.2:500,MASQUE,4,4,0%,153,153,152,153,152
162.159.197.2:8443,MASQUE,4,4,0%,153,153,153,152,152
[2606:4700:102::2]:500,MASQUE,4,4,0%,153,153,154,152,153
[2606:4700:102::2]:8095,MASQUE,4,4,0%,153,153,152,154,153
162.159.199.2:4500,MASQUE,4,4,0%,153,153,153,154,152
[2606:4700:102::2]:8443,MASQUE,4,4,0%,153,152,155,153,152
162.159.197.2:4500,MASQUE,4,4,0%,153,154,153,153,153
162.159.199.2:4443,MASQUE,4,4,0%,153,152,154,153,153
162.159.198.2:1701,MASQUE,4,4,0%,155,154,153,158,155
162.159.198.2:4500,MASQUE,4,4,0%,155,154,155,158,154
162.159.198.2:8443,MASQUE,4,4,0%,156,162,153,155,154
162.159.198.2:500,MASQUE,4,3,25%,156,156,154,158,-1
162.159.196.2:1701,MASQUE,4,0,100%,-1,-1,-1,-1,-1
162.159.196.2:8443,MASQUE,4,0,100%,-1,-1,-1,-1,-1
162.159.196.2:4500,MASQUE,4,0,100%,-1,-1,-1,-1,-1
162.159.196.2:443,MASQUE,4,0,100%,-1,-1,-1,-1,-1
162.159.196.2:8095,MASQUE,4,0,100%,-1,-1,-1,-1,-1
162.159.196.2:500,MASQUE,4,0,100%,-1,-1,-1,-1,-1
162.159.196.2:4443,MASQUE,4,0,100%,-1,-1,-1,-1,-1
